age,workclass,education,marital-status,occupation,place-of-birth,relationship,hours-per-week,sex,race,income
69.0,Self-Employed (Not Inc.),Bachelor's degree,Married,Landscaping And Groundskeeping Workers,California,Reference person,30.0,Male,White,False
53.0,Federal Government,Bachelor's degree,Divorced,Managers,Indiana,Reference person,40.0,Female,White,False
62.0,Private Non-Profit,Bachelor's degree,Divorced,Registered Nurses,Hawaii,Reference person,24.0,fem,White,True
38.0,Private Non-Profit,Associate's degree,Married,Physical Therapists,New York,Husband/wife,37.0,Female,White,False
22.0,Private For-Profit,"one or more years of college credit, no degree",Never married,Retail Salespersons,Texas,Biological son or daughter,-10.0,Male,Black,False
67.0,Local Government,Bachelor's degree,Divorced,Human Resources Workers,Washington,Reference person,200.0,Female,White,True
71.0,Private For-Profit,"12th grade, no diploma",Married,Driver/Sales Workers And Truck Drivers,Illinois,Reference person,40.0,m,White,False
60.0,Private For-Profit,Bachelor's degree,Married,,New York,Reference person,25.0,Male,White,True
19.0,Private For-Profit,"Some college, but less than 1 year",Never married,Customer Service Representatives,Massachusetts,Noninstitutionalized group quarters population,10.0,Female,White,False
26.0,Self-Employed (Not Inc.),"One or more years of college credit, no degree",Never married,Computer Support Specialists,Tennessee,Reference person,5.0,Male,White,False
52.0,Private For-Profit,regular high school diploma,Married,"Laborers And Freight, Stock, And Material Movers, Hand",Maine,Reference person,41.0,Male,White,True
24.0,Private For-Profit,regular high school diploma,Never married,Cashiers,Maryland,Adopted son or daughter,30.0,Male,White,False
35.0,Private For-Profit,Grade 11,Married,,Texas,Husband/wife,40.0,Male,White,False
63.0,Private For-Profit,Bachelor's degree,MARRIED,Management Analysts,South Carolina,Reference person,36.0,Female,White,True
26.0,Private For-Profit,"Some college, but less than 1 year",Married,"Textile Machine Setters, Operators, And Tenders",Georgia,Reference person,,Female,Black,False
63.0,Self-Employed (Not Inc.),"One or more years of college credit, no degree",Never married,Real Estate Brokers And Sales Agents,Kentucky,Reference person,20.0,Female,Other Race,False
43.0,Private For-Profit,"one or more years of college credit, no degree",Married,"Engineering Technologists And Technicians, Except Drafters",ARIZONA,Reference person,55.0,Male,White,True
33.0,Private For-Profit,"Some college, but less than 1 year",Never married,,California,unmarried partner,55.0,Female,White,False
62.0,Private For-Profit,Professional degree beyond a bachelor's degree,Married,Retail Salespersons,"United Kingdom, Not Specified",Reference person,44.0,male,wht,False
70.0,Private For-Profit,Bachelor's degree,Married,Industrial Production Managers,Georgia,Reference person,60.0,M,White,True
27.0,Self-Employed (Not Inc.),Regular high school diploma,married,Childcare Workers,Brazil,Reference person,30.0,Female,White,False
24.0,Private For-Profit,Regular high school diploma,Never married,Childcare Workers,Missouri,Unmarried partner,40.0,Female,White,False
30.0,Private For-Profit,Bachelor's degree,Married,Medical Assistants,pennsylvania,Husband/wife,8.0,Female,White,False
19.0,Private For-Profit,"One or more years of college credit, no degree",Never married,Waiters And Waitresses,california,Noninstitutionalized group quarters population,40.0,Male,White,False
18.0,Private For-Profit,Grade 11,Never married,"Laborers And Freight, Stock, And Material Movers, Hand",Wisconsin,Other nonrelative,25.0,Male,White,False
72.0,Self-Employed (Inc.),Grade 8,Married,Personal Care Aides,JAMAICA,Husband/wife,40.0,Male,blk,False
37.0,,Bachelor's degree,Never married,Unknown,New Hampshire,Housemate or roommate,40.0,Male,White,False
30.0,Private For-Profit,Doctorate degree,Never married,Editors,New York,Reference person,40.0,Female,White,False
26.0,Private For-Profit,Associate's degree,never married,"Maintenance And Repair Workers, General",new york,Reference person,40.0,male,White,False
74.0,Private For-Profit,Regular high school diploma,Divorced,Driver/Sales Workers And Truck Drivers,illinois,Unmarried partner,25.0,Male,White,False
73.0,Private For-Profit,No schooling completed,Married,Janitors And Building Cleaners,Dominican Republic,Reference person,40.0,Male,Two or More Race,False
31.0,Local Government,"one or more years of college credit, no degree",Never married,Correctional Officers and Jailers,MINNESOTA,Reference person,40.0,Male,White,True
69.0,Private For-Profit,bachelor's degree,Married,Managers,Pennsylvania,reference person,60.0,male,White,True
71.0,Private For-Profit,Bachelor's degree,Married,Driver/Sales Workers And Truck Drivers,west virginia,Reference person,25.0,Male,White,True
57.0,Private For-Profit,Grade 10,Married,First-Line Supervisors Of Production And Operating Workers,Texas,Reference person,40.0,Male,White,True
18.0,Private For-Profit,Regular high school diploma,Never married,Healthcare Support Workers,Illinois,housemate or roommate,40.0,Male,White,False
37.0,,bachelor's degree,Married,Childcare Workers,OHIO,Husband/wife,15.0,F,White,False
26.0,Private For-Profit,Regular high school diploma,never married,Cashiers,NORTH CAROLINA,Reference person,39.0,Female,White,False
20.0,Private Non-Profit,GED or alternative credential,Never married,Tutors,Nepal,Reference person,14.0,Male,Asian,False
23.0,Private For-Profit,Regular high school diploma,Never married,Carpenters,New York,Biological son or daughter,5.0,Male,Two or More Race,False
22.0,Self-Employed (Not Inc.),Grade 3,Never married,"Brickmasons, Blockmasons, Stonemasons, And Reinforcing Iron And Rebar Workers",Louisiana,Other relative,40.0,m,Black,True
58.0,Self-Employed (Inc.),Bachelor's degree,Married,Unknown,WASHINGTON,Reference person,50.0,Male,White,True
60.0,Self-Employed (Not Inc.),"One or more years of college credit, no degree",Divorced,First-Line Supervisors Of Retail Sales Workers,Florida,Reference person,30.0,Female,White,False
34.0,Local Government,"One or more years of college credit, no degree",Never married,Construction Equipment Operators,New York,biological son or daughter,45.0,male,White,False
53.0,Private For-Profit,"some college, but less than 1 year",married,Computer Systems Analysts,Massachusetts,Reference person,40.0,Female,White,True
49.0,Private Non-Profit,Master's degree,Married,Clergy,Texas,Reference person,42.0,Female,White,True
55.0,Local Government,Bachelor's degree,Married,Elementary And Middle School Teachers,Ohio,Reference person,35.0,Female,White,True
49.0,Private For-Profit,bachelor's degree,Married,Project Management Specialists,India,Reference person,-10.0,Male,Asian,True
67.0,Self-Employed (Not Inc.),"SOME COLLEGE, BUT LESS THAN 1 YEAR",Married,"Farmers, Ranchers, And Agricultural Managers",Indiana,Husband/wife,,Male,White,False
,Self-Employed (Not Inc.),Master's degree,Divorced,"Personal Care and Service Workers, All Other",MASSACHUSETTS,Reference person,50.0,F,White,True
22.0,Private For-Profit,"12th grade, no diploma",Never married,Food Preparation Workers,California,Other relative,40.0,Male,Two or More Race,False
35.0,Private For-Profit,BACHELOR'S DEGREE,Married,Word Processors And Typists,illinois,husband/wife,40.0,Female,White,True
28.0,Private For-Profit,Associate's degree,MARRIED,"Crushing, Grinding, Polishing, Mixing, And Blending Workers",Puerto Rico,Reference person,50.0,Male,White,False
66.0,Private For-Profit,Associate's degree,Divorced,Licensed Practical And Licensed Vocational Nurses,Connecticut,Reference person,24.0,Female,White,True
24.0,Private For-Profit,"One or more years of college credit, no degree",Never married,Stockers And Order Fillers,Oregon,Biological son or daughter,25.0,Male,White,False
41.0,Private For-Profit,REGULAR HIGH SCHOOL DIPLOMA,Divorced,Driver/Sales Workers And Truck Drivers,California,Biological son or daughter,40.0,Male,White,False
64.0,Private For-Profit,Bachelor's degree,Married,Mechanical Engineers,Florida,Reference person,40.0,Male,White,True
43.0,Private Non-Profit,"Some college, but less than 1 year",Married,Medical Assistants,Wisconsin,Husband/wife,70.0,Female,White,False
32.0,Private For-Profit,Bachelor's degree,Never married,"Sales Representatives, Wholesale And Manufacturing",Wisconsin,Reference person,43.0,Female,White,True
40.0,Private For-Profit,Associate's degree,Divorced,"Hairdressers, Hairstylists, And Cosmetologists",Hong Kong,Housemate or roommate,40.0,Female,Asian,False
-5.0,Private For-Profit,Regular high school diploma,Never married,Riggers,Florida,Unmarried partner,,Male,Other Race,False
63.0,Private For-Profit,regular high school diploma,Married,"Packers And Packagers, Hand",India,Reference person,30.0,Male,Asian,False
35.0,Private For-Profit,"ONE OR MORE YEARS OF COLLEGE CREDIT, NO DEGREE",Married,First-Line Supervisors Of Non-Retail Sales Workers,Iowa,Husband/wife,55.0,Male,White,True
28.0,Private For-Profit,Professional degree beyond a bachelor's degree,Married,"Lawyers, And Judges, Magistrates, And Judicial Workers",Illinois,Reference person,60.0,Male,White,True
29.0,Private For-Profit,"One or more years of college credit, no degree",Never married,Training And Development Specialists,North Carolina,Unmarried partner,44.0,Male,White,True
49.0,Private Non-Profit,"one or more years of college credit, no degree",Married,First-Line Supervisors Of Non-Retail Sales Workers,Delaware,Reference person,60.0,Female,White,True
,Private For-Profit,Regular high school diploma,Divorced,"Sales Representatives, Wholesale And Manufacturing",washington,Reference person,40.0,Male,White,False
35.0,Private For-Profit,Regular high school diploma,Never married,Transportation Service Attendants,Alabama,Biological son or daughter,40.0,Male,White,False
62.0,Private For-Profit,Regular high school diploma,Married,"First-Line Supervisors Of Mechanics, Installers, And Repairers",Pennsylvania,Reference person,38.0,Male,White,False
45.0,Private For-Profit,Regular high school diploma,Married,,Ohio,Husband/wife,50.0,Male,White,False
61.0,Self-Employed (Inc.),Bachelor's degree,Married,Computer Programmers,New York,Husband/wife,40.0,Male,White,True
50.0,Private For-Profit,Regular high school diploma,Married,"Carpet, Floor, And Tile Installers And Finishers",Mexico,reference person,40.0,male,Other Race,False
18.0,Private For-Profit,grade 11,Never married,Retail Salespersons,Georgia,Biological son or daughter,20.0,Female,White,False
40.0,Self-Employed (Not Inc.),Bachelor's degree,Never married,Media And Communication Equipment Workers,New Jersey,Reference person,40.0,Male,White,False
44.0,Private Non-Profit,PROFESSIONAL DEGREE BEYOND A BACHELOR'S DEGREE,Married,Social And Human Service Assistants,PENNSYLVANIA,Reference person,24.0,Female,White,False
29.0,Private For-Profit,"ONE OR MORE YEARS OF COLLEGE CREDIT, NO DEGREE",Married,"Transportation, Storage, And Distribution Managers",Georgia,Husband/wife,40.0,Male,White,True
,Private For-Profit,"One or more years of college credit, no degree",Married,Fast Food And Counter Workers,illinois,Husband/wife,,Female,White,False
73.0,,Doctorate degree,Married,"Farmers, Ranchers, And Agricultural Managers",tennessee,Husband/wife,2.0,Female,White,False
72.0,Private For-Profit,Grade 5,Married,First-Line Supervisors Of Production And Operating Workers,Texas,Husband/wife,,Male,White,False
43.0,,"One or more years of college credit, no degree",MARRIED,Producers And Directors,California,Reference person,37.0,Female,White,True
70.0,,Regular high school diploma,Married,Maids And Housekeeping Cleaners,Virginia/VA,Husband/wife,12.0,Female,Black,False
,Federal Government,"One or more years of college credit, no degree",Married,"Laborers And Freight, Stock, And Material Movers, Hand",Oregon,Reference person,40.0,M,White,False
41.0,Local Government,Master's degree,Married,Elementary And Middle School Teachers,Ohio,Reference person,40.0,m,White,False
52.0,Private For-Profit,Professional degree beyond a bachelor's degree,married,Real Estate Brokers And Sales Agents,Illinois,Reference person,35.0,Female,White,True
60.0,Private For-Profit,Bachelor's degree,Married,,New York,Husband/wife,55.0,male,White,True
27.0,Private For-Profit,Bachelor's degree,Married,Insurance Underwriters,California,Husband/wife,45.0,Male,White,True
28.0,Local Government,"One or more years of college credit, no degree",Married,"Archivists, Curators, And Museum Technicians",Virginia/VA,Husband/wife,40.0,Female,White,False
58.0,Private For-Profit,"One or more years of college credit, no degree",Married,Industrial Truck And Tractor Operators,Missouri,Reference person,40.0,Male,White,False
40.0,Private For-Profit,"One or more years of college credit, no degree",NEVER MARRIED,Computer And Information Systems Managers,MICHIGAN,reference person,46.0,Male,White,True
35.0,Private For-Profit,ged or alternative credential,Never married,Laundry And Dry-Cleaning Workers,California,Other nonrelative,50.0,Male,White,False
46.0,Federal Government,BACHELOR'S DEGREE,Divorced,Police Officers,Arizona,Reference person,45.0,Male,White,True
-5.0,Private For-Profit,"One or more years of college credit, no degree",Married,Heavy Vehicle And Mobile Equipment Service Technicians And Mechanics,MAINE,Reference person,59.0,m,White,True
34.0,Private For-Profit,Grade 11,Never married,"Graders And Sorters, Agricultural Products",Michigan,Unmarried partner,40.0,Male,White,False
,Private For-Profit,Grade 10,Never married,Retail Salespersons,TEXAS,Other nonrelative,10.0,Female,wht,False
51.0,Private For-Profit,Associate's degree,Never married,Registered Nurses,Uzbekistan,Reference person,24.0,Female,White,True
52.0,State Government,"One or more years of college credit, no degree",Married,Childcare Workers,New York,Husband/wife,29.0,Female,Black,False
59.0,Local Government,BACHELOR'S DEGREE,Married,Biological Scientists,California,Reference person,40.0,Female,White,True
66.0,Private Non-Profit,"One or more years of college credit, no degree",Married,Shuttle Drivers And Chauffeurs,Indiana,Reference person,24.0,Male,White,False
32.0,Private Non-Profit,Bachelor's degree,Married,Registered Nurses,India,Husband/wife,12.0,Female,Asian,False
24.0,,"One or more years of college credit, no degree",Never married,Elementary And Middle School Teachers,Florida,Housemate or roommate,40.0,Female,White,False
35.0,Private For-Profit,"Some college, but less than 1 year",Never married,"Sales Representatives, Wholesale And Manufacturing",New York,Unmarried partner,50.0,Male,White,False
58.0,Self-Employed (Not Inc.),Grade 9,married,Driver/Sales Workers And Truck Drivers,Texas,Husband/wife,40.0,fem,White,True
24.0,Private For-Profit,"some college, but less than 1 year",Never married,,new york,Reference person,48.0,Female,White,False
35.0,Self-Employed (Not Inc.),Bachelor's degree,Married,"Farmers, Ranchers, And Agricultural Managers",Nebraska,Reference person,70.0,Male,White,False
24.0,Private For-Profit,"One or more years of college credit, no degree",Never married,Stockers And Order Fillers,Texas,Biological son or daughter,40.0,fem,White,False
54.0,Private Non-Profit,ged or alternative credential,Divorced,Medical And Health Services Managers,OHIO,Reference person,80.0,Male,Black,True
,Private For-Profit,Regular high school diploma,Married,Fast Food And Counter Workers,Pennsylvania,Husband/wife,32.0,Female,White,False
51.0,Local Government,Master's degree,Married,Elementary And Middle School Teachers,Michigan,Reference person,55.0,Female,White,True
58.0,Private For-Profit,Grade 9,Married,"Secretaries And Administrative Assistants, Except Legal, Medial, And Executive",Missouri,Husband/wife,40.0,Female,White,False
-5.0,Private For-Profit,"ONE OR MORE YEARS OF COLLEGE CREDIT, NO DEGREE",Never married,Project Management Specialists,New Jersey,Biological son or daughter,32.0,Female,White,False
52.0,Private For-Profit,"12th grade, no diploma",Separated,Cashiers,Ohio,Father or mother,25.0,Female,White,False
26.0,,"One or more years of college credit, no degree",Never married,Construction And Building Inspectors,Wyoming,Housemate or roommate,38.0,Male,White,False
42.0,Private For-Profit,"One or more years of college credit, no degree",Married,Software Developers,Michigan,Reference person,50.0,Male,White,True
,,PROFESSIONAL DEGREE BEYOND A BACHELOR'S DEGREE,Married,Clergy,New York,Husband/wife,50.0,Male,White,True
25.0,,"One or more years of college credit, no degree",Never married,Teaching Assistants,california,Grandchild,35.0,Female,Black,False
48.0,Private For-Profit,Grade 11,Married,Automotive Service Technicians And Mechanics,Missouri,Reference person,,Male,White,True
29.0,Private For-Profit,Regular high school diploma,Never married,Food Service Managers,texas,Biological son or daughter,40.0,Male,blk,True
33.0,Private For-Profit,Bachelor's degree,Married,"Sales Representatives, Wholesale And Manufacturing",Maryland,Reference person,40.0,Male,White,True
23.0,Private For-Profit,Associate's degree,Never married,Food Preparation Workers,washington,Biological son or daughter,40.0,Female,White,False
38.0,Local Government,Master's degree,Married,Elementary And Middle School Teachers,New Hampshire,Husband/wife,40.0,male,White,True
58.0,Federal Government,bachelor's degree,Married,Transportation Security Screeners,Iraq,Husband/wife,200.0,Female,White,False
55.0,Private For-Profit,Regular high school diploma,Married,Human Resources Workers,California,Husband/wife,40.0,Female,White,True
17.0,Private For-Profit,Grade 11,Never married,Childcare Workers,South Carolina,Biological son or daughter,18.0,Female,White,False
32.0,Private For-Profit,GED or alternative credential,Married,Aircraft Pilots And Flight Engineers,Texas,Husband/wife,40.0,Male,Other Race,False
61.0,Private For-Profit,Regular high school diploma,Married,"Laborers And Freight, Stock, And Material Movers, Hand",Texas,Husband/wife,,Male,White,False
47.0,Private Non-Profit,Master's degree,divorced,Education And Childcare Administrators,Canada,Reference person,60.0,Male,White,True
42.0,Private For-Profit,ASSOCIATE'S DEGREE,Married,Drafters,Iowa,Reference person,40.0,Female,White,True
999.0,Private For-Profit,REGULAR HIGH SCHOOL DIPLOMA,married,"Laborers And Freight, Stock, And Material Movers, Hand",Kentucky,Reference person,50.0,Male,White,True
,Private For-Profit,Bachelor's degree,Married,Accountants And Auditors,Hong Kong,husband/wife,40.0,Female,Asian,True
66.0,Local Government,Master's degree,Married,"Library Assistants, Clerical",Iowa,Husband/wife,24.0,Female,White,True
52.0,Private Non-Profit,bachelor's degree,Divorced,Registered Nurses,MASSACHUSETTS,Reference person,50.0,Female,White,True
17.0,Local Government,Grade 11,NEVER MARRIED,Entertainment Attendants And Related Workers,COLORADO,Biological son or daughter,20.0,Male,White,False
47.0,Private For-Profit,Regular high school diploma,Married,Painters and Paperhangers,Peru,Husband/wife,40.0,Male,White,False
40.0,Local Government,Master's degree,Never married,Engineers,Venezuela,Stepson or stepdaughter,50.0,Male,White,False
38.0,Private For-Profit,Regular high school diploma,Married,"Secretaries And Administrative Assistants, Except Legal, Medial, And Executive",Alabama,Husband/wife,40.0,fem,White,False
20.0,Private For-Profit,Associate's degree,Never married,Retail Salespersons,New Jersey,Housemate or roommate,50.0,Female,White,False
49.0,Federal Government,Professional degree beyond a bachelor's degree,Separated,Management Analysts,New Jersey,Reference person,40.0,Female,White,True
45.0,Private For-Profit,professional degree beyond a bachelor's degree,married,Credit Counselors And Loan Officers,England,Reference person,70.0,Male,Asian,True
54.0,Private For-Profit,"one or more years of college credit, no degree",Married,"Bookkeeping, Accounting, And Auditing Clerks",Texas,Husband/wife,40.0,Female,White,True
34.0,Private For-Profit,Regular high school diploma,Never married,Cashiers,Arizona,reference person,200.0,fem,American Indian,False
59.0,Private For-Profit,Bachelor's degree,Married,"Inspectors, Testers, Sorters, Samplers, And Weighers",Indiana,Reference person,50.0,Male,White,True
68.0,Private For-Profit,Regular high school diploma,Married,Licensed Practical And Licensed Vocational Nurses,Nebraska,Husband/wife,,Female,White,False
64.0,State Government,Regular high school diploma,Married,Correctional Officers and Jailers,Ohio,Reference person,41.0,Male,White,True
22.0,Private For-Profit,"Some college, but less than 1 year",Never married,Cashiers,China,biological son or daughter,60.0,Female,Asian,False
31.0,Private For-Profit,GED or alternative credential,Never married,"Hairdressers, Hairstylists, And Cosmetologists",Nevada,Reference person,30.0,Female,White,False
53.0,Private For-Profit,Grade 8,Married,Landscaping And Groundskeeping Workers,Mexico,Brother or sister,52.0,Male,Other Race,False
55.0,Private Non-Profit,"One or more years of college credit, no degree",NEVER MARRIED,Medical And Health Services Managers,Texas,Reference person,40.0,Female,Black,False
61.0,Private For-Profit,Regular high school diploma,Married,"Brickmasons, Blockmasons, Stonemasons, And Reinforcing Iron And Rebar Workers",Georgia,Husband/wife,40.0,Male,blk,False
54.0,Private For-Profit,Bachelor's degree,Married,Drafters,Venezuela,Reference person,40.0,Female,White,True
19.0,Local Government,Regular high school diploma,Never married,"Hosts And Hostesses, Restaurant, Lounge, And Coffee Shop",CALIFORNIA,Noninstitutionalized group quarters population,8.0,Female,Asian,False
40.0,Private Non-Profit,Bachelor's degree,Married,Registered Nurses,Minnesota,Reference person,40.0,Female,White,True
49.0,Self-Employed (Not Inc.),"12th grade, no diploma",Married,"Bookkeeping, Accounting, And Auditing Clerks",Illinois,Reference person,45.0,Female,wht,True
38.0,Private For-Profit,No schooling completed,Married,Personal Care Aides,Honduras,Husband/wife,40.0,Female,White,False
52.0,Private For-Profit,"One or more years of college credit, no degree",Married,Credit Counselors And Loan Officers,Nebraska,Reference person,,F,White,True
72.0,,Bachelor's degree,Married,Janitors And Building Cleaners,italy,Reference person,40.0,Male,White,True
-5.0,Private Non-Profit,MASTER'S DEGREE,Married,Education And Childcare Administrators,Wisconsin,Husband/wife,55.0,Female,White,True
34.0,State Government,Associate's degree,Married,"Counselors, All Other",Washington,Husband/wife,40.0,Male,White,False
40.0,Private For-Profit,Bachelor's degree,Married,First-Line Supervisors Of Non-Retail Sales Workers,California,Husband/wife,40.0,Male,White,True
-5.0,Private For-Profit,"ONE OR MORE YEARS OF COLLEGE CREDIT, NO DEGREE",Never married,Unknown,NORTH CAROLINA,Biological son or daughter,30.0,Female,White,False
49.0,Private Non-Profit,"SOME COLLEGE, BUT LESS THAN 1 YEAR",Married,"Office Clerks, General",North Carolina,Husband/wife,19.0,Female,White,False
71.0,Private For-Profit,BACHELOR'S DEGREE,married,First-Line Supervisors Of Retail Sales Workers,Spain,Husband/wife,48.0,Male,White,True
33.0,Private For-Profit,Doctorate degree,Married,Elementary And Middle School Teachers,Germany,husband/wife,30.0,Male,White,False
49.0,Self-Employed (Not Inc.),Bachelor's degree,Married,Personal Financial Advisors,California,Husband/wife,46.0,M,White,True
45.0,Private For-Profit,Bachelor's degree,Never married,"Computer Occupations, All Other",New York,biological son or daughter,40.0,Male,Other Race,False
59.0,State Government,Associate's degree,Married,Cooks,Philippines,Biological son or daughter,38.0,Female,Asian,False
,Private For-Profit,"One or more years of college credit, no degree",Married,Retail Salespersons,Oklahoma,Husband/wife,35.0,Male,White,True
43.0,Private For-Profit,Regular high school diploma,DIVORCED,Automotive Body And Related Repairers,Virginia/VA,Biological son or daughter,35.0,Male,White,False
37.0,Private For-Profit,DOCTORATE DEGREE,Married,Pharmacists,texas,Husband/wife,40.0,Female,Asian,False
40.0,Local Government,Associate's degree,Never married,Registered Nurses,New York,Reference person,200.0,Male,blk,True
53.0,Private For-Profit,"Some college, but less than 1 year",Married,Carpenters,Indiana,Husband/wife,30.0,Male,White,False
40.0,Private For-Profit,regular high school diploma,Married,First-Line Supervisors Of Production And Operating Workers,Illinois,husband/wife,50.0,Male,White,False
42.0,Private For-Profit,Associate's degree,Married,Medical Records Specialists,Ohio,Husband/wife,,Female,White,True
35.0,Private For-Profit,BACHELOR'S DEGREE,Married,Insurance Claims And Policy Processing Clerks,Virginia/VA,Husband/wife,40.0,Female,White,True
42.0,Private For-Profit,"Some college, but less than 1 year",Married,Medical Secretaries and Administrative Assistants,Texas,Husband/wife,40.0,Female,White,False
54.0,Private For-Profit,"ONE OR MORE YEARS OF COLLEGE CREDIT, NO DEGREE",Widowed,Mental Health Counselors,Massachusetts,Reference person,40.0,Female,Black,True
20.0,Private Non-Profit,Regular high school diploma,Never married,Entertainment Attendants And Related Workers,New York,Biological son or daughter,10.0,Male,White,False
27.0,Private For-Profit,Associate's degree,Married,,Maine,Husband/wife,40.0,Female,wht,False
38.0,Federal Government,GED or alternative credential,Separated,Medical And Health Services Managers,Pennsylvania,reference person,45.0,Female,Black,True
40.0,Private For-Profit,Master's degree,MARRIED,Retail Salespersons,New Jersey,husband/wife,40.0,F,White,False
74.0,Self-Employed (Not Inc.),"One or more years of college credit, no degree",Widowed,"Farmers, Ranchers, And Agricultural Managers",California,Reference person,70.0,Female,White,False
64.0,Local Government,REGULAR HIGH SCHOOL DIPLOMA,Married,Highway Maintenance Workers,Arkansas,Reference person,40.0,Male,White,True
28.0,Private For-Profit,"One or more years of college credit, no degree",Married,Payroll And Timekeeping Clerks,Massachusetts,Biological son or daughter,40.0,Male,White,False
45.0,Local Government,"One or more years of college credit, no degree",Married,Firefighters,Massachusetts,Reference person,56.0,Male,Two or More Race,True
34.0,Private For-Profit,GED or alternative credential,Married,"Electrical And Electronic Equipment Mechanics, Installers, And Repairers.",Ohio,Husband/wife,40.0,Male,White,False
25.0,Private For-Profit,Grade 9,NEVER MARRIED,"Farmers, Ranchers, And Agricultural Managers",Mexico,Housemate or roommate,72.0,Male,White,False
57.0,Local Government,Regular high school diploma,Married,Janitors And Building Cleaners,District of Columbia,Husband/wife,40.0,M,White,False
20.0,Private For-Profit,Regular high school diploma,Separated,Customer Service Representatives,mexico,Reference person,40.0,Female,Other Race,False
24.0,Private For-Profit,Grade 11,Married,Food Preparation Workers,Dominican Republic,other relative,18.0,Female,Other Race,False
68.0,Private For-Profit,"One or more years of college credit, no degree",Married,Chief Executives And Legislators,Nebraska,Reference person,40.0,Female,White,True
67.0,Self-Employed (Not Inc.),Doctorate degree,Married,"Counselors, All Other",pennsylvania,Husband/wife,4.0,Female,White,False
62.0,Private For-Profit,"One or more years of college credit, no degree",Married,"Bookkeeping, Accounting, And Auditing Clerks",New York,Husband/wife,40.0,Female,White,False
21.0,Private For-Profit,"Some college, but less than 1 year",Never married,Stockers And Order Fillers,Connecticut,Noninstitutionalized group quarters population,8.0,Female,White,False
49.0,Private For-Profit,Bachelor's degree,Married,Materials Engineers,Minnesota,Reference person,40.0,Male,wht,True
18.0,Private For-Profit,Grade 11,Never married,Dining Room And Cafeteria Attendants And Bartender Helpers,Tennessee,Biological son or daughter,10.0,Male,White,False
999.0,Self-Employed (Not Inc.),Associate's degree,Married,Food Service Managers,Vietnam,Reference person,60.0,Male,Asian,False
55.0,Private Non-Profit,Professional degree beyond a bachelor's degree,Married,Training And Development Specialists,NEW YORK,Husband/wife,45.0,Male,wht,True
57.0,Private For-Profit,Grade 11,Married,Cooks,North Carolina,Reference person,35.0,Male,Black,True
19.0,Private For-Profit,Regular high school diploma,Never married,Veterinary Technologists and Technicians,Rhode Island,Biological son or daughter,36.0,fem,White,False
37.0,Private For-Profit,"Some college, but less than 1 year",Married,Waiters And Waitresses,Illinois,Son-in-law or daughter-in-law,20.0,Female,wht,False
